cik,name,reportingDate,filingDate,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,putCall,investmentDiscretion,otherManager,Sole,Shared,None
1803081,"Moser Wealth Advisors, LLC",20240331,20240502,WOLFSPEED INC,COM,977852102,36138,1225,SH,,SOLE,,0,0,0
1388391,Walleye Trading LLC,20240630,20240814,WOLFSPEED INC,COM,977852102,3598356,158100,SH,Put,SOLE,,158100,0,0
1388391,Walleye Trading LLC,20240630,20240814,WOLFSPEED INC,COM,977852102,4472340,196500,SH,Call,SOLE,,196500,0,0
1692234,"Russell Investments Group, Ltd.",20240930,20241113,Wolfspeed  Inc,Common Stock,977852102,8082,833,SH,,DFND,,0,0,833
1692234,"Russell Investments Group, Ltd.",20240930,20241113,WOLFSPEED INC COM,Common Stock,977852102,2541,262,SH,,DFND,,262,0,0
1465109,Neuberger Berman Group LLC,20240331,20240513,,Common,977852102,16108067,546644,SH,,DFND,,431518,0,115125
1465109,Neuberger Berman Group LLC,20240331,20240513,,Common,977852102,58971,1999,SH,,OTR,8,0,0,1999
1465109,Neuberger Berman Group LLC,20240331,20240513,,Common,977852102,305886,10369,SH,,SOLE,,10369,0,0
1602198,"Capital Impact Advisors, LLC",20231231,20240214,WOLFSPEED INC,COM,977852102,1019004,23420,SH,,SOLE,,23420,0,0
1263548,WHITTIER TRUST CO OF NEVADA INC,20240630,20240729,WOLFSPEED INC               COM,FIXED INCOME TAX EXEMPT,977852102,9098,400,SH,,SOLE,,400,0,0
1912576,Psagot Value Holdings Ltd. / (Israel),20231231,20240208,WOLFSPEED INC,COM,977852102,19,424,SH,,DFND,3,424,0,0
1484972,"HAP Trading, LLC",20240630,20240814,WOLFSPEED INC,COM,977852102,42978,38100,SH,Call,SOLE,,38100,0,0
1450144,"TWO SIGMA SECURITIES, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,498963,16914,SH,,SOLE,,16914,0,0
1450144,"TWO SIGMA SECURITIES, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,2295100,77800,SH,Call,SOLE,,77800,0,0
1450144,"TWO SIGMA SECURITIES, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,2492750,84500,SH,Put,SOLE,,84500,0,0
1191672,CREDIT AGRICOLE S A,20231231,20240213,WOLFSPEED INC,COM,977852102,4773178,109703,SH,,DFND,"1,2,3,4",109703,0,0
1079736,WASHINGTON TRUST Co,20240630,20240715,Wolfspeed Inc,COM,977852102,6236,274,SH,,SOLE,NONE,274,0,0
1909846,Covestor Ltd,20240930,20241101,WOLFSPEED INC,COMMON,977852102,4,422,SH,,SOLE,,422,0,0
1542161,"Glaxis Capital Management, LLC",20240930,20241108,WOLFSPEED INC,COM,977852102,145500,15000,SH,Call,SOLE,,15000,0,0
1478735,"TWO SIGMA ADVISERS, LP",20240630,20240814,WOLFSPEED INC,COM,977852102,6124716,269100,SH,,SOLE,,268700,0,400
1538846,South Dakota Investment Council,20240930,20241104,WOLFSPEED INC,COM,977852102,5508,567834,SH,,SOLE,,567834,0,0
1716984,"Slow Capital, Inc.",20240630,20240724,WOLFSPEED INC,COM,977852102,3126974,137389,SH,,SOLE,,137389,0,0
1904425,"Cassady Schiller Wealth Management, LLC",20231231,20240209,WOLFSPEED ORD,COM,977852102,11530,265,SH,,SOLE,,0,0,265
1542161,"Glaxis Capital Management, LLC",20240630,20240809,WOLFSPEED INC,COM,977852102,341400,15000,SH,Call,SOLE,,15000,0,0
1578621,LMR Partners LLP,20231231,20240214,WOLFSPEED INC,NOTE  1.750% 5/0,225447AD3,2850025,2500000,PRN,,SOLE,,2500000,0,0
1578621,LMR Partners LLP,20231231,20240214,WOLFSPEED INC,COM,977852102,12983645,298406,SH,,SOLE,,298406,0,0
1578621,LMR Partners LLP,20231231,20240214,WOLFSPEED INC,COM,977852102,25409840,584000,SH,Put,SOLE,,584000,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20240331,20240528,WOLFSPEED INC,COM,977852102,1063,36019,SH,,SOLE,1,36019,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20240331,20240528,"WOLFSPEED, INC",COM,977852102,6886,233409,SH,,SOLE,10,233409,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20240331,20240528,"WOLFSPEED, INC",COM,977852102,129,4374,SH,,SOLE,21,4374,0,0
1388391,Walleye Trading LLC,20240331,20240515,WOLFSPEED INC,COM,977852102,4404350,149300,SH,Call,SOLE,,149300,0,0
1388391,Walleye Trading LLC,20240331,20240515,WOLFSPEED INC,COM,977852102,2675650,90700,SH,Put,SOLE,,90700,0,0
1830819,"Kestra Advisory Services, LLC",20240930,20241113,WOLFSPEED INC,COM,977852102,593834,61220,SH,,SOLE,,0,0,0
1462245,"HighTower Advisors, LLC",20240630,20240813,WOLFSPEED INC,COM,977852102,308000,13555,SH,,SOLE,,13555,0,0
