company_name,quarter,asset_category,balance,position_change
ProFunds,2024Q3,Other,561.0,-60.0
ProFunds,2024Q3,Other,222.0,-339.0
ProFunds,2024Q3,Other,4306.0,4084.0
ProFunds,2024Q3,Other,227.0,-4079.0
ProFunds,2024Q3,Other,1315.0,1088.0
ProFunds,2024Q3,Other,226.0,-1089.0
"RBB FUND, INC.",2024Q3,Other,32702.0,
RUSSELL INVESTMENT CO,2024Q3,Other,-19704.0,
RUSSELL INVESTMENT CO,2024Q3,Other,-114861.0,-95157.0
RUSSELL INVESTMENT CO,2024Q3,Other,-2428.0,112433.0
RUSSELL INVESTMENT FUNDS,2024Q3,Other,-21464.0,
RUSSELL INVESTMENT FUNDS,2024Q3,Other,-5528.0,15936.0
RYDEX SERIES FUNDS,2024Q3,Other,28246.0,
RYDEX SERIES FUNDS,2024Q3,Other,504.0,-27742.0
RYDEX VARIABLE TRUST,2024Q3,Other,159.0,
RYDEX VARIABLE TRUST,2024Q3,Other,7499.0,7340.0
SA FUNDS INVESTMENT TRUST,2024Q3,Other,857.0,
SA FUNDS INVESTMENT TRUST,2024Q3,Other,9115.0,8258.0
SCHWAB CAPITAL TRUST,2024Q3,Other,25251.0,
SCHWAB CAPITAL TRUST,2024Q3,Other,16806.0,-8445.0
SCHWAB CAPITAL TRUST,2024Q3,Other,56169.0,39363.0
SCHWAB CAPITAL TRUST,2024Q3,Other,3638.0,-52531.0
SCHWAB INVESTMENTS,2024Q3,Other,40813.0,
SCHWAB STRATEGIC TRUST,2024Q3,Other,638.0,
SCHWAB STRATEGIC TRUST,2024Q3,Other,339729.0,339091.0
SCHWAB STRATEGIC TRUST,2024Q3,Other,9143.0,-330586.0
SCHWAB STRATEGIC TRUST,2024Q3,Other,97546.0,88403.0
SCHWAB STRATEGIC TRUST,2024Q3,Other,63150.0,-34396.0
SCHWAB STRATEGIC TRUST,2024Q3,Other,74820.0,11670.0
SCHWAB STRATEGIC TRUST,2024Q3,Other,108166.0,33346.0
SEASONS SERIES TRUST,2024Q3,Other,384000.0,
SEASONS SERIES TRUST,2024Q3,Other,998.0,
SEASONS SERIES TRUST,2024Q3,Other,109000.0,
SEI Catholic Values Trust,2024Q3,Shares,341.0,
SEI INSTITUTIONAL INVESTMENTS TRUST,2024Q3,Shares,19923.0,
SEI INSTITUTIONAL INVESTMENTS TRUST,2024Q3,Shares,5000.0,-14923.0
SEI INSTITUTIONAL MANAGED TRUST,2024Q3,Shares,2930.0,
SHELTON FUNDS,2024Q3,Other,5129.0,
SMALLCAP WORLD FUND INC,2024Q3,Other,3859375.0,
SPDR INDEX SHARES FUNDS,2024Q3,Other,362.0,
SPDR S&P MIDCAP 400 ETF TRUST,2024Q3,Other,1010572.0,
SPDR SERIES TRUST,2024Q3,Other,1769795.0,
SPDR SERIES TRUST,2024Q3,Other,5410000.0,
SPDR SERIES TRUST,2024Q3,Other,29887000.0,
SPDR SERIES TRUST,2024Q3,Other,9512000.0,
SPDR SERIES TRUST,2024Q3,Other,104180.0,-1665615.0
SPDR SERIES TRUST,2024Q3,Other,12.0,-104168.0
SPDR SERIES TRUST,2024Q3,Other,474968.0,474956.0
SPDR SERIES TRUST,2024Q3,Other,18830.0,-456138.0
SPDR SERIES TRUST,2024Q3,Other,248.0,-18582.0
SPDR SERIES TRUST,2024Q3,Other,126687.0,126439.0
STATE STREET INSTITUTIONAL INVESTMENT TRUST,2024Q3,Other,65.0,
STATE STREET INSTITUTIONAL INVESTMENT TRUST,2024Q3,Other,45301.0,45236.0
STATE STREET VARIABLE INSURANCE SERIES FUNDS INC,2024Q3,Other,779.0,
"STEWARD FUNDS, INC.",2024Q3,Other,-12800.0,
"STEWARD FUNDS, INC.",2024Q3,Other,5739.0,18539.0
SUNAMERICA SERIES TRUST,2024Q3,Other,21714.0,
SUNAMERICA SERIES TRUST,2024Q3,Other,2739.0,-18975.0
SYNTAX ETF TRUST,2024Q3,Other,540.0,
Securian Funds Trust,2024Q3,Other,10037.0,
"T. Rowe Price Index Trust, Inc.",2024Q3,Other,19826.0,
"T. Rowe Price Index Trust, Inc.",2024Q3,Other,5714.0,-14112.0
"T. Rowe Price International Funds, Inc.",2024Q3,Other,981000.0,
"T. Rowe Price International Funds, Inc.",2024Q3,Other,19595000.0,
"T. Rowe Price Multi-Strategy Total Return Fund, Inc.",2024Q3,Other,33000.0,
"T. Rowe Price Multi-Strategy Total Return Fund, Inc.",2024Q3,Other,660000.0,
"T. Rowe Price Science & Technology Fund, Inc.",2024Q3,Other,168300.0,
TETON WESTWOOD FUNDS,2024Q3,Other,600000.0,
THRIVENT SERIES FUND INC,2024Q3,Other,30409.0,
TIAA SEPARATE ACCOUNT VA 1,2024Q3,Other,3166.0,
TIAA-CREF FUNDS,2024Q3,Other,46874.0,
TIAA-CREF FUNDS,2024Q3,Other,1265.0,-45609.0
TIAA-CREF FUNDS,2024Q3,Other,104946.0,103681.0
TIAA-CREF LIFE FUNDS,2024Q3,Other,1949.0,
TIFF INVESTMENT PROGRAM,2024Q3,Other,-17764.0,
TRUST FOR PROFESSIONAL MANAGERS,2024Q3,Other,-17763.0,
TRUST FOR PROFESSIONAL MANAGERS,2024Q3,Other,8290.0,26053.0
TRUST FOR PROFESSIONAL MANAGERS,2024Q3,Other,39810.0,31520.0
TRUST FOR PROFESSIONAL MANAGERS,2024Q3,Other,11.0,-39799.0
Tidal Trust II,2024Q3,Other,11036.0,
Two Roads Shared Trust,2024Q3,Other,30495.0,
UNIFIED SERIES TRUST,2024Q3,Other,-29142.0,
UNIFIED SERIES TRUST,2024Q3,Other,5000000.0,
VALIC Co I,2024Q3,Other,140633.0,
VANGUARD ADMIRAL FUNDS,2024Q3,Other,51485.0,
VANGUARD ADMIRAL FUNDS,2024Q3,Other,119487.0,68002.0
VANGUARD ADMIRAL FUNDS,2024Q3,Other,52271.0,-67216.0
VANGUARD HORIZON FUNDS,2024Q3,Other,3047300.0,
VANGUARD HORIZON FUNDS,2024Q3,Other,13589.0,-3033711.0
VANGUARD INDEX FUNDS,2024Q3,Other,3954874.0,
VANGUARD INDEX FUNDS,2024Q3,Other,1897297.0,-2057577.0
VANGUARD INDEX FUNDS,2024Q3,Other,1682395.0,-214902.0
VANGUARD INDEX FUNDS,2024Q3,Other,3165948.0,1483553.0
VANGUARD INSTITUTIONAL INDEX FUNDS,2024Q3,Other,76980.0,
VANGUARD INTERNATIONAL EQUITY INDEX FUNDS,2024Q3,Other,74037.0,
VANGUARD SCOTTSDALE FUNDS,2024Q3,Other,18178.0,
VANGUARD SCOTTSDALE FUNDS,2024Q3,Other,56445.0,38267.0
VANGUARD SCOTTSDALE FUNDS,2024Q3,Other,8957.0,-47488.0
VANGUARD TAX-MANAGED FUNDS,2024Q3,Other,54783.0,
VANGUARD VALLEY FORGE FUNDS,2024Q3,Other,81279.0,
VANGUARD WORLD FUND,2024Q3,Other,25183.0,
VANGUARD WORLD FUND,2024Q3,Other,1999451.0,1974268.0
VARIABLE INSURANCE PRODUCTS FUND,2024Q3,Other,3092000.0,
VARIABLE INSURANCE PRODUCTS FUND II,2024Q3,Other,4948.0,
VARIABLE INSURANCE PRODUCTS FUND II,2024Q3,Other,2383.0,-2565.0
VICTORY PORTFOLIOS III,2024Q3,Other,15986.0,
Variable Insurance Products Fund V,2024Q3,Other,5455000.0,
Virtus Diversified Income & Convertible Fund,2024Q3,Other,1200000.0,
Virtus Equity & Convertible Income Fund,2024Q3,Other,1390000.0,
Virtus Investment Trust,2024Q3,Other,23015000.0,
Virtus Strategy Trust,2024Q3,Other,1920000.0,
Voya VARIABLE PORTFOLIOS INC,2024Q3,Other,6123.0,
Voya VARIABLE PORTFOLIOS INC,2024Q3,Other,10990.0,4867.0
WILMINGTON FUNDS,2024Q3,Other,1575.0,
WILSHIRE MUTUAL FUNDS INC,2024Q3,Other,659.0,
iSHARES TRUST,2024Q3,Other,63640.0,
iSHARES TRUST,2024Q3,Other,91902.0,28262.0
iSHARES TRUST,2024Q3,Other,322577.0,230675.0
iSHARES TRUST,2024Q3,Other,10782.0,-311795.0
iSHARES TRUST,2024Q3,Other,38257.0,27475.0
iSHARES TRUST,2024Q3,Other,55302.0,17045.0
