doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund
NPORT-P,Brighthouse Funds Trust II,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,46094.00000000,NS,USD,1049099.44000000,0.102876676084,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,Brinker Capital Destinations Trust,2024-07-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,1019.00000000,NS,USD,26188.30000000,0.002933772642,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,9500000.00000000,PA,USD,5442645.00000000,0.688258776717,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5711000.00000000,PA,USD,3378570.49000000,0.427242782231,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,9500000.00000000,PA,USD,4735940.00000000,0.584959522000,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5711000.00000000,PA,USD,3037909.34000000,0.375227303430,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,8750000.00000000,PA,USD,5012962.50000000,0.684079831201,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5338000.00000000,PA,USD,3157907.42000000,0.430934956091,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,8750000.00000000,PA,USD,4362050.00000000,0.581209226815,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5338000.00000000,PA,USD,2839495.72000000,0.378340714106,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,10250000.00000000,PA,USD,6063797.50000000,0.730862917100,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,225447AD3,N/A,N/A,10000000.00000000,PA,USD,9303800.00000000,0.064451695401,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
